"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","Update course","LMS service","Thu Sep 11 15:39:45 UTC 2025","passed","Thu Sep 11 15:39:45 UTC 2025","Update entity","Courses","",""
"","24","Create exercise","LMS service","Thu Sep 11 15:39:48 UTC 2025","passed","Thu Sep 11 15:39:48 UTC 2025","Get entities","Exercises","",""
"","18","Delete exercise","LMS service","Thu Sep 11 15:39:47 UTC 2025","passed","Thu Sep 11 15:39:47 UTC 2025","Delete entity","Exercises","",""
"","30","Get course","LMS service","Thu Sep 11 15:39:44 UTC 2025","passed","Thu Sep 11 15:39:44 UTC 2025","Get entities","Courses","",""
"","530","Create user","LMS service","Thu Sep 11 15:39:51 UTC 2025","passed","Thu Sep 11 15:39:51 UTC 2025","Create entity","Users","",""
"","53","Get exercise","LMS service","Thu Sep 11 15:39:47 UTC 2025","passed","Thu Sep 11 15:39:47 UTC 2025","Get entity","Exercises","",""
"","27","Create exercise","LMS service","Thu Sep 11 15:39:46 UTC 2025","passed","Thu Sep 11 15:39:46 UTC 2025","Create entity","Exercises","",""
"","19","Create file","LMS service","Thu Sep 11 15:39:48 UTC 2025","passed","Thu Sep 11 15:39:48 UTC 2025","Create entity","Files","",""
"","560","Create user","LMS service","Thu Sep 11 15:39:52 UTC 2025","passed","Thu Sep 11 15:39:52 UTC 2025","Create entity","Users","",""
"","29","Create course","LMS service","Thu Sep 11 15:39:45 UTC 2025","passed","Thu Sep 11 15:39:45 UTC 2025","Create entity","Courses","",""
"","549","Login with correct email and password","LMS service","Thu Sep 11 15:39:43 UTC 2025","passed","Thu Sep 11 15:39:44 UTC 2025","Login","Authentication","",""
"","264","Get file with incorrect file id","LMS service","Thu Sep 11 15:39:52 UTC 2025","passed","Thu Sep 11 15:39:52 UTC 2025","Validate entity","Files","",""
"","24","Delete file","LMS service","Thu Sep 11 15:39:51 UTC 2025","passed","Thu Sep 11 15:39:51 UTC 2025","Delete entity","Files","",""
"","21","Get file","LMS service","Thu Sep 11 15:39:50 UTC 2025","passed","Thu Sep 11 15:39:50 UTC 2025","Get entity","Files","",""
"","519","Create user","LMS service","Thu Sep 11 15:39:51 UTC 2025","passed","Thu Sep 11 15:39:52 UTC 2025","Create entity","Users","",""
"","24","Update exercise","LMS service","Thu Sep 11 15:39:46 UTC 2025","passed","Thu Sep 11 15:39:46 UTC 2025","Update entity","Exercises","",""
"","268","Create file with empty directory","LMS service","Thu Sep 11 15:39:50 UTC 2025","passed","Thu Sep 11 15:39:51 UTC 2025","Validate entity","Files","",""
"","262","Create file with empty filename","LMS service","Thu Sep 11 15:39:49 UTC 2025","passed","Thu Sep 11 15:39:49 UTC 2025","Validate entity","Files","",""
"","12","Get user","LMS service","Thu Sep 11 15:39:53 UTC 2025","passed","Thu Sep 11 15:39:53 UTC 2025","Get entity","Users","",""
